trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
69,253.50071256811339,7,4,2816,176,6,56,336,96,0.4,6.303355774833243e-05,0.00033319804744155046,128
70,246.52929433545538,6,3,2576,240,7,48,256,64,0.45,0.0012817420363652055,0.0005704394095850659,128
71,248.53643861441023,4,5,3120,112,4,60,384,80,0.4,7.469166813590391e-06,0.00012920078492297324,512
72,250.805020443266,8,6,2720,208,8,32,320,96,0.5,0.004469531020474263,1.4274861291385654e-05,256
73,254.15542159852893,6,5,2416,192,5,24,288,96,0.45,4.583700118599793e-05,3.583501819352319e-07,128
74,239.88721567651837,5,5,2448,240,6,52,368,112,0.45,0.00023640109876624593,5.735271939960205e-05,512
75,242.54226003514555,5,4,2656,256,6,44,352,112,0.45,0.00020450467175001498,0.00025064339884854533,512
76,241.02932611326193,5,5,2528,240,7,56,400,112,0.5,0.0002996485686004163,1.2962471827453728e-07,512
77,241.90976446258415,6,6,2464,224,7,64,320,48,0.45,1.3329072498912773e-05,5.391942708353428e-05,512
78,243.64354034836845,2,5,2304,240,6,52,400,80,0.4,9.907068072717431e-05,5.804408871347494e-05,512
79,246.27872073282586,4,7,2400,256,10,44,368,32,0.4,0.0005122253083543382,0.0006344537677957639,128
80,241.77050840268984,7,5,2608,16,11,36,240,112,0.5,4.8298389281031894e-06,2.992492393220257e-07,512
81,244.18758183166972,5,4,2336,128,9,48,128,96,0.35000000000000003,8.929861156995579e-06,2.1009300045144016e-05,1024
82,243.95934454932345,6,6,3680,224,10,52,304,112,0.45,2.381006709396387e-05,0.00010311735701541755,128
83,244.92632628067668,4,2,2768,240,8,32,352,64,0.45,2.8559112526909512e-06,0.0001669761667926867,512
84,241.08908102850887,5,5,2480,240,6,56,384,112,0.45,0.000219801379066769,7.3335507543561e-07,512
85,247.3641719158916,5,5,2448,256,6,48,368,112,0.45,0.0002871887513369633,3.4315684512384265e-06,512
86,243.64335365962492,5,5,2448,224,5,52,448,96,0.4,0.00012169410356803227,1.950092872249134e-06,512
87,246.51055710971755,4,6,2272,240,6,36,384,112,0.5,0.00018431491707949558,1.1759492671490765e-06,512
88,253.74134739635747,6,4,2656,208,7,40,352,112,0.4,0.00040775046030730607,8.495265453385352e-07,512
89,256.175235871676,5,5,2544,256,5,40,336,96,0.5,0.0006708525969179398,4.279145783703774e-07,128
90,238.70296510920653,4,4,2352,240,11,60,432,128,0.45,7.885671858794467e-05,6.692650447074124e-08,512
91,238.9255633350092,3,4,2368,224,11,60,480,128,0.35000000000000003,3.743428960465544e-05,7.145401497438469e-08,512
92,244.2310642754753,2,4,2352,208,11,64,496,128,0.35000000000000003,4.5875414342061655e-05,2.0850950733495837e-08,256
93,246.46215204555074,3,3,2384,224,11,28,448,128,0.30000000000000004,6.882873491571952e-05,1.1009274443808175e-07,128
94,254.81795855123218,3,4,2288,240,11,60,480,128,0.35000000000000003,1.9205552206804327e-05,6.119171386670913e-08,512
95,238.00147317332926,4,4,2240,224,10,60,416,128,0.4,3.798062820652652e-05,6.548800435965699e-08,512
96,238.99664292823377,4,4,2272,224,10,56,432,128,0.45,2.982460627148208e-05,7.941722317393078e-08,512
97,239.11512938677868,4,4,2272,208,10,56,480,128,0.45,3.170884900603681e-05,7.145278208129809e-08,512
98,244.49010215042665,3,4,2240,224,10,56,432,128,0.45,3.2703419833335064e-05,4.8436187356758413e-08,512
99,242.20188626190145,1,3,2320,208,9,56,480,128,0.2,7.921878482832631e-05,3.302850290438349e-08,512
100,240.8778666750934,3,4,2256,192,10,60,512,128,0.5,3.895877852017828e-05,7.65554891338996e-08,512
101,240.9153875170307,4,4,2928,224,9,64,480,128,0.45,2.6338227666333818e-05,2.2563249466765554e-08,512
