,datetime,precip_in
952,2/6/1961,NA
953,2/7/1961,NA
954,2/8/1961,1.4
955,2/9/1961,0.7
956,2/10/1961,0.15
957,2/11/1961,0.3
958,2/12/1961,NA
959,2/13/1961,0.4
960,2/14/1961,1.1
961,2/15/1961,0.4
962,2/16/1961,NA
963,2/17/1961,1.7
964,2/18/1961,1.7
965,2/19/1961,0.7
966,2/20/1961,0.4
967,2/21/1961,0.8
968,2/22/1961,0.5
969,2/23/1961,NA
970,2/24/1961,1
971,2/25/1961,0.4
972,2/26/1961,0.2
973,2/27/1961,0.8
974,2/28/1961,0.8
975,3/1/1961,2
976,3/2/1961,0.6
977,3/3/1961,1.2
978,3/4/1961,1.7
979,3/5/1961,1
980,3/6/1961,0.9
981,3/7/1961,0.4
982,3/8/1961,0.9
983,3/9/1961,0.9
984,3/10/1961,0.85
985,3/11/1961,0.3
986,3/12/1961,0.85
987,3/13/1961,0.85
988,3/14/1961,7.9
989,3/15/1961,2.4
990,3/16/1961,1.1
991,3/17/1961,NA
992,3/18/1961,3.5
993,3/19/1961,NA
994,3/20/1961,NA
995,3/21/1961,NA
996,3/22/1961,NA
997,3/23/1961,NA
998,3/24/1961,4.5
999,3/25/1961,0.6
1000,3/26/1961,1.7
1001,3/27/1961,1.8
1002,3/28/1961,2.6
1003,3/29/1961,1.9
1004,3/30/1961,0.3
1005,3/31/1961,NA
1006,4/1/1961,0.5
1007,4/2/1961,NA
1008,4/3/1961,NA
1009,4/4/1961,NA
1010,4/5/1961,NA
1011,4/6/1961,0.35
1012,4/7/1961,NA
1013,4/8/1961,0.5
1014,4/9/1961,0.15
1015,4/10/1961,NA
1016,4/11/1961,0.35
1017,4/12/1961,NA
1018,4/13/1961,NA
1019,4/14/1961,0.55
1020,4/15/1961,0.5
1021,4/16/1961,5.65
1022,4/17/1961,0.3
1023,4/18/1961,0.2
1024,4/19/1961,0.3
1025,4/20/1961,NA
1026,4/21/1961,0.3
1027,4/22/1961,2.05
1028,4/23/1961,2.3
1029,4/24/1961,NA
1030,4/25/1961,0.4
1031,4/26/1961,0.3
1032,4/27/1961,NA
1033,4/28/1961,0.15
1034,4/29/1961,NA
1035,4/30/1961,0.1
1036,5/1/1961,0.2
1037,5/2/1961,1.45
1038,5/3/1961,2.5
1039,5/4/1961,0.25
1040,5/5/1961,NA
1041,5/6/1961,0.2
1042,5/7/1961,0.1
1043,5/8/1961,NA
1044,5/9/1961,NA
1045,5/10/1961,0.15
1046,5/11/1961,0.3
1047,5/12/1961,NA
1048,5/13/1961,NA
1049,5/14/1961,NA
1050,5/15/1961,NA
1051,5/16/1961,NA
1052,5/17/1961,1.15
1053,5/18/1961,NA
1054,5/19/1961,NA
1055,5/20/1961,NA
1056,5/21/1961,1.65
1057,5/22/1961,NA
1058,5/23/1961,0.7
1059,5/24/1961,0.25
1060,5/25/1961,NA
1061,5/26/1961,NA
1062,5/27/1961,0.4
1063,5/28/1961,NA
1064,5/29/1961,1.1
1065,5/30/1961,2.4
1066,5/31/1961,NA
1067,6/1/1961,0.4
1068,6/2/1961,0.3
1069,6/3/1961,4.5
1070,6/4/1961,9
1071,6/5/1961,0.4
1072,6/6/1961,0.8
1073,6/7/1961,0.45
1074,6/8/1961,NA
1075,6/9/1961,0.4
1076,6/10/1961,0.2
1077,6/11/1961,0.6
1078,6/12/1961,NA
1079,6/13/1961,1.65
1080,6/14/1961,0.6
1081,6/15/1961,NA
1082,6/16/1961,1.1
1083,6/17/1961,0.3
1084,6/18/1961,0.15
1085,6/19/1961,NA
1086,6/20/1961,NA
1087,6/21/1961,NA
1088,6/22/1961,NA
1089,6/23/1961,NA
1090,6/24/1961,NA
1091,6/25/1961,NA
1092,6/26/1961,NA
1093,6/27/1961,0.15
1094,6/28/1961,1.35
1095,6/29/1961,0.2
1096,6/30/1961,NA
1097,7/1/1961,NA
1098,7/2/1961,NA
1099,7/3/1961,NA
1100,7/4/1961,NA
1101,7/5/1961,NA
1102,7/6/1961,NA
1103,7/7/1961,NA
1104,7/8/1961,NA
1105,7/9/1961,NA
1106,7/10/1961,2.2
1107,7/11/1961,0
1108,7/12/1961,0.2
1109,7/13/1961,0.2
1110,7/14/1961,0
